season,episode_num_in_season,title,directed_by,written_by,imdb_rating,desc,us_viewers,Rachel,Ross,Joey,Chandler,Monica,Phoebe
9,15,The One with the Mugging,Gary Halvorson,Peter Tibbals,8.3,"Joey gets a part in a stage-play in a painful way. Ross and Phoebe are mugged outside Central Perk, Phoebe realizes that she mugged Ross 18 years ago. Chandler starts his new career as advertising writer.",20850000,0,1,1,1,0,1
9,16,The One with the Boob Job,Gary Halvorson,Mark Kunerth,8.2,"When Monica and Chandler both ask Joey for money not wanting the other to know why they are asking for it, Chandler sees that Joey gave money to Monica. Joey makes up that Monica is getting a boob job. Phoebe asks Mike to move in with her, but decides not to when she and Mike argue about their future. Rachel attempts to baby-proof the apartment, but makes Joey go insane when he can't open anything.",19520000,1,0,1,1,1,1
9,17,The One with the Memorial Service,Gary Halvorson,Story by: Robert CarlockTeleplay by: Brian Buckner & Sebastian Jones,8.4,"When Chandler and Ross joke around on their college website, Ross is accused of being dead which leads to the fact that he was not popular in college. Joey is not willing to give his favorite stuffed animal, Hugsy, to Emma. Monica helps Phoebe not call Mike.",21000000,0,1,1,1,1,1
9,18,The One with the Lottery,Gary Halvorson,Story by: Brian Buckner & Sebastian JonesTeleplay by: Sherry Bilsing-Graham & Ellen Plummer,8.6,"Hoping to win a huge jackpot, the friends pool their money and buy dozens of lottery tickets. However, they bicker over how to spend the fortune if they win, and Monica irritates everyone else by buying tickets just for her and Chandler.",20790000,0,0,0,1,1,0
9,19,The One with Rachel's Dream,Terry Hughes,Story by: Dana Klein BorkowTeleplay by: Mark Kunerth,8.1,"Joey is insecure now his Days of Our Lives character Dr. Drake Ramore is getting real dialog, so he asks Rachel to come along to the set, which she loves enough to get romantic dreams, but about Drake, Joey or both? Monica's fancy restaurant Javu is doing great, so she's flat out, too badly to accept joining Chandler on a surprise trip he booked to Vermont. When Phoebe comes sing her gross songs outside Javu, Monica tries to tell her nicely it's inappropriate, lacking style, but Phoebe just gets fancier dress; once told the truth, she starts a nasty row... Meanwhile ...",18240000,1,0,1,1,1,1
9,20,The One with the Soap Opera Party,Sheldon Epps,Story by: Shana Goldberg-MeehanTeleplay by: Andrew Reich & Ted Cohen,8.2,Joey throws a cast party on the roof of his building where he ends up making out with an attractive professor that Ross had a crush on.,20710000,0,1,1,0,0,0
9,21,The One with the Fertility Test,Gary Halvorson,Story by: Scott SilveriTeleplay by: Robert Carlock,8.2,"Still unable to conceive, Monica and Chandler decide to get tests done at a fertility clinic, where they run into Chandler's favorite ex, Janice. Rachel receives a gift certificate for a free massage at a chain massage center. Phoebe chastises Rachel for even thinking about going to a massage chain, which she feels takes away business from independent massage therapists like herself; however, Phoebe actually works at this specific massage chain. Rachel says she won't go and even tears up the gift certificate, but she later tapes it back together, goes for her free ...",19030000,1,0,0,1,1,1
9,22,The One with the Donor,Ben Weiss,Andrew Reich & Ted Cohen,7.8,"When Joey hears that his girlfriend Charlie is an insecure shopper, he volunteers expert Rachel, who dreads being alone with her, so she makes sure Phoebe comes along, by saying she needs a dazzling outfit for the party she's going to just to save face as her ex Mike is coming too. Gynecologist Dr. Connelly tells Chandler and Monica they should keep trying the natural way, but realistically consider a surrogate mother -a nightmare for Monica- or donor sperm insemination, so Chandler invites his 'perfectly eligible' colleague Zach for dinner; they scare him with ...",19550000,1,0,1,1,1,1
9,23,The One in Barbados: Part 1,Kevin S. Bright,Shana Goldberg-Meehan & Scott Silveri,8.4,"Chandler gives advice to David, but that makes David want to propose to Phoebe. Although Phoebe is still in love with Mike. Monica calls Mike who shows up there right in the middle of David's proposal. Mike proposes instead. Phoebe gets back together with Mike, but doesn't accept his proposal. Monica's hair gets all poofy after getting off the plane. Charlie and Ross enjoy themselves when rewriting Ross's speech. Rachel keeps changing her mind on when to tell Joey that she has feelings for him.",25460000,1,1,1,1,1,1
9,24,The One in Barbados: Part 2,Kevin S. Bright,Marta Kauffman & David Crane,8.6,"To the other friends' fury, it keeps raining except during Ross's speech, which to their amazement is a big hit with the paleontologists. Joey's scientific ignorance decides Charlie to turn her favor to Ross, then they must flee the other academics who intend by tradition to throw the key note-speaker into the pool. Chandler and Phoebe knew better, but Mike accepts to play table tennis against ever-obsessive fluffy monster Monica; when she gets injured, Chandler jumps in and crushes Mike. Rachel can't hide her feelings for Joey anymore, so when he sees Ross and ...",25460000,1,1,1,1,1,1
10,1,The One After Joey and Rachel Kiss,Kevin S. Bright,Andrew Reich & Ted Cohen,8.5,Joey and Ross both attempt to come clean to each other that they're dating Rachel and Charlie. Phoebe finds out Mike has another girlfriend.,24540000,1,1,1,0,0,1
10,2,The One Where Ross Is Fine,Ben Weiss,Sherry Bilsing-Graham & Ellen Plummer,8.8,Rachel and Joey fear for Ross's state of mind after he finds out about their relationship. Chandler and Monica visit some friends of Phoebe to get advice on adoption. Frank and the triplets come to visit.,22370000,1,1,1,1,1,1
10,3,The One with Ross's Tan,Gary Halvorson,Brian Buckner,8.8,Ross goes to a tanning salon but fails to follow the 'simple' instructions. Joey and Rachel struggle to make the transition from friends to lovers. Monica and Phoebe try to avoid an annoying woman that used to live in their building.,21870000,1,1,1,0,1,1
10,4,The One with the Cake,Gary Halvorson,Robert Carlock,8.3,"On Emma's first birthday, Ross and Rachel convince everyone to delay their plans so they can attend her party, however plans go awry when Emma's birthday cake is revealed.",18760000,1,1,0,0,0,0
10,5,The One Where Rachel's Sister Babysits,Roger Christiansen,Dana Klein Borkow,8.2,Rachel's sister Amy comes to visit and moves in with her and Joey. Phoebe constantly and accidentally ruins Mike's proposals. Joey struggles to write a letter of recommendation for Monica and Chandler's adoption agency.,19370000,1,0,1,1,1,1
10,6,The One with Ross' Grant,Ben Weiss,Sebastian Jones,8.2,Ross applies for a paleontology grant and finds out Charlie's ex-boyfriend reviews the applications. Monica and Rachel fight over who has to take Phoebe's ugly painting.,20370000,1,1,0,0,1,1
10,7,The One with the Home Study,Kevin S. Bright,Mark Kunerth,8.3,Monica and Chandler nervously prepare for a visit from an adoption worker. Phoebe and Mike keep changing their minds about donating their wedding money to charity. Ross fights Rachel's fear of swings.,20210000,1,1,0,1,1,1
10,8,The One with the Late Thanksgiving,Gary Halvorson,Shana Goldberg-Meehan,8.9,"Joey, Ross, Rachel and Phoebe convince Monica and Chandler to host Thanksgiving, however the four of them end up arriving to dinner an hour late.",20660000,1,1,1,1,1,1
10,9,The One with the Birth Mother,David Schwimmer,Scott Silveri,8.6,"Nervous and excited, Monica and Chandler travel to Ohio to meet a young pregnant woman, Erica Simmons, who is considering allowing them to adopt her child when it's born.",25480000,0,0,0,1,1,0
10,10,The One Where Chandler Gets Caught,Gary Halvorson,Doty Abrams,8,"Chandler and Monica have decided they want to raise their offspring in a suburban house and even find a perfect one in Westchester. Rachel and Phoebe see Chandler enter a car with his realtor, Nancy, and think he's cheating on Monica. After that misunderstanding is cleared, the other Friends are shocked the couple wants to leave Manhattan, and everybody starts reminiscing about living in New York as a gang, until Nancy calls about their bid on the house.",26680000,1,0,0,1,1,1
10,11,The One Where the Stripper Cries,Kevin S. Bright,David Crane & Marta Kauffman,9,Old secrets come to light when Ross and Chandler attend a college reunion. Monica and Rachel throw Phoebe a bachelorette party. Joey appears as a celebrity partner on a game show.,24910000,1,1,1,1,1,1
10,12,The One with Phoebe's Wedding,Kevin S. Bright,Robert Carlock & Dana Klein Borkow,8.9,Chaos ensues as Phoebe and Mike prepare to get married.,25900000,0,0,0,0,0,1
10,13,The One Where Joey Speaks French,Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,8.5,Phoebe tries to teach Joey to speak French for an audition; Ross and Rachel head out to Long Island after her dad has a heart attack.,24270000,1,1,1,0,0,1
10,14,The One with Princess Consuela,Gary Halvorson,Story by: Robert CarlockTeleplay by: Tracy Reilly,8.6,"When Phoebe goes to get her name changed she realizes she can change it to anything she wants, so she changes it to Princess Consuela Banana Hammock, to Mike's displeasure. Chandler finds out that Monica never changed her last name. Monica and Chandler take Joey to their house to convince him it is a good move and he tries to find anything wrong with the house so they won't buy it. Rachel goes to a job interview at a restaurant but her current boss is sitting right beyond her, costing her her job at Ralph Lauren. When cleaning out her office, she bumps into Mark who ...",22820000,1,0,1,1,1,1
10,15,The One Where Estelle Dies,Gary Halvorson,Story by: Mark KunerthTeleplay by: David Crane & Marta Kauffman,8.5,"Ross tries to get Rachel to go back to Ralph Lauren, Joey doesn't know that his agent has died, and Monica and Chandler bump into Janice.",22640000,1,1,1,1,1,0
10,16,The One with Rachel's Going Away Party,Gary Halvorson,Andrew Reich & Ted Cohen,8.9,"The gang throws Rachel a goodbye party, during which she says goodbye to everybody individually.",24510000,1,0,0,0,0,0
10,17,The Last One,Kevin S. Bright,Marta Kauffman & David Crane,9.7,"Phoebe races Ross to the airport in a bid to stop Rachel from leaving for Paris. Monica and Chandler pack up their apartment ahead of their move to their new house, and Joey buys Chandler a new chick and duck as a leaving present.",52460000,1,1,1,1,1,1
10,18,The Last One,Kevin S. Bright,Marta Kauffman & David Crane,,,52460000,,,,,,
